Ê—“‘,«Ã „«⁄Ì,«œ» Ê Â‰—,”Ì«”Ì,«ﬁ ’«œ
24,22,7,31,5
0,1,0,0,0
0,0,0,0,1
0,0,0,0,1
0,1,6,1,0
0,0,0,0,1
0,0,1,0,2
2,2,0,0,0
0,32,3,3,17
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
29,24,3,13,20
8,0,0,4,0
1,0,0,0,0
0,1,0,0,0
7,8,1,12,0
4,9,17,28,1
51,66,20,45,29
2,5,0,5,1
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,12,1,0,0
1,11,3,3,5
0,1,0,2,0
2,0,0,0,0
0,0,0,1,0
1,0,0,0,0
0,11,38,1,0
0,1,0,0,0
27,100,34,110,40
38,5,3,4,1
0,1,0,0,0
0,0,0,3,0
0,2,2,1,0
0,0,1,0,0
0,0,2,0,0
0,0,0,1,0
2,0,0,0,0
0,11,0,3,0
0,1,0,9,1
0,0,0,2,0
1,0,0,3,0
0,1,0,0,0
1,57,2,24,0
1,4,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
1,0,0,0,0
1,0,2,0,0
1,0,0,0,0
5,14,32,8,0
0,0,0,1,0
0,1,0,0,0
0,4,0,1,0
0,0,1,0,0
0,0,2,1,5
0,0,0,0,1
0,2,1,0,7
1,1,0,0,0
1,3,1,0,0
0,0,0,0,1
0,35,0,4,0
0,1,0,0,0
1,0,0,0,0
1,1,3,0,0
0,5,2,1,2
2,1,0,0,1
60,0,0,0,0
0,0,5,0,0
3,1,0,0,0
3,0,0,0,0
0,0,0,0,1
0,0,1,0,0
0,4,4,0,0
0,18,1,1,1
321,0,0,0,0
0,0,0,1,0
0,1,0,0,0
6,0,0,0,0
1,10,4,1,2
0,0,0,0,1
0,4,3,0,0
0,0,0,0,1
0,0,0,0,1
4,27,7,25,16
0,1,0,1,0
0,0,0,1,0
0,1,0,0,0
0,1,1,5,0
0,2,3,2,0
0,0,0,1,0
0,1,0,0,0
1,1,0,1,0
0,0,0,1,0
0,0,0,1,1
2,0,0,0,0
7,5,24,19,2
0,9,1,15,5
0,0,0,1,0
0,0,1,0,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,3,0,1,6
7,1,7,3,2
0,0,0,1,0
0,1,0,1,0
0,1,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,2
0,2,3,0,0
0,2,0,0,0
0,1,0,0,0
0,1,1,0,0
2,4,6,42,0
0,1,0,0,0
0,3,0,0,0
0,0,1,0,0
1,0,0,0,0
0,1,1,0,0
2,11,1,1,2
1,2,0,0,1
20,1,0,0,0
1,4,2,0,1
1,0,4,0,0
0,1,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
6,5,8,2,0
1,0,0,0,0
1,0,2,0,0
16,0,0,0,0
1,0,0,0,0
0,3,0,0,0
0,0,0,0,1
0,0,0,1,0
11,2,1,2,1
0,0,1,0,0
0,2,0,0,1
2,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,1,0,0
22,0,1,0,0
0,1,0,0,0
0,0,0,0,2
3,0,0,0,0
1,0,0,0,0
0,1,1,1,0
0,1,0,0,0
1081,1597,676,761,120
0,1,0,0,0
0,0,2,0,0
0,5,2,6,0
3,20,1,7,7
3,1,0,0,0
3,7,6,33,6
0,1,0,1,0
2,0,0,0,0
1,0,0,0,0
0,0,1,0,0
0,0,0,1,0
46,1,5,4,8
1,2,0,0,1
0,1,0,0,0
0,1,0,0,0
13,123,22,17,5
0,1,0,5,0
0,0,1,0,0
0,0,1,0,0
3,0,0,0,0
57,6,8,18,2
0,0,2,0,0
0,0,0,9,0
0,1,0,0,0
68,69,19,16,10
1,0,0,1,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,1,1,0
0,0,2,1,0
1,0,0,0,0
8,4,1,2,0
0,1,0,0,0
1,2,1,1,0
3,3,1,2,0
16,27,9,8,21
0,1,0,0,0
0,0,0,0,6
0,0,1,0,0
2,0,0,0,0
0,0,1,1,0
0,2,0,0,0
5,0,0,0,0
0,1,0,0,0
1,0,0,0,0
0,1,0,0,0
0,2,0,1,1
0,0,0,2,0
0,2,0,1,0
1,0,0,0,0
0,3,0,0,0
0,1,0,0,1
0,1,0,0,0
1,1,1,0,0
0,0,0,0,26
5,3,3,0,0
0,0,1,0,0
3,20,6,12,21
1,0,0,0,0
0,1,0,0,2
2,0,0,0,0
2,0,0,0,0
0,0,0,0,1
1,0,0,0,1
0,8,3,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
5,5,0,1,3
3,0,0,2,0
6,14,8,55,3
0,0,1,0,0
0,0,0,1,0
0,2,0,0,0
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
1,4,0,0,0
13,19,2,9,2
0,2,1,6,4
0,0,2,0,0
0,0,0,1,0
0,2,0,4,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,1
0,1,0,0,0
0,0,1,0,0
2,0,5,0,0
0,0,0,1,0
2,1,1,2,0
0,1,1,1,0
0,0,0,1,0
0,15,36,8,4
0,2,0,2,0
20,53,3,14,144
0,10,1,2,1
1,0,0,0,0
0,1,0,0,0
0,0,0,1,0
1,0,0,0,0
0,0,1,0,0
0,94,2,20,0
3,149,3,63,0
4,1,4,0,0
0,0,0,1,0
6,0,0,0,0
2,6,3,3,0
0,0,0,0,1
0,0,1,0,0
0,1,0,0,0
0,0,0,23,0
0,4,0,0,94
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,2,0
0,0,1,0,1
0,1,0,0,0
2,1,2,0,1
3,2,0,1,0
1,7,0,0,1
1,0,0,0,0
1,0,0,0,0
13,10,0,0,20
15,76,14,55,18
0,0,0,0,1
0,0,1,0,0
0,1,0,0,0
0,1,0,3,0
0,0,1,0,0
0,0,4,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
0,1,0,1,0
0,3,3,0,0
0,8,8,2,2
0,0,0,0,1
1,2,1,1,0
5,15,13,7,3
0,0,3,0,0
2,11,1,21,1
0,0,0,0,1
0,0,0,0,2
0,1,0,1,0
0,0,1,0,0
14,0,0,0,0
0,0,0,1,0
1,0,0,0,0
22,109,51,52,6
0,0,0,2,1
0,4,0,0,2
1,0,0,0,0
0,1,0,0,0
0,0,0,1,2
0,1,0,1,0
1,3,1,4,2
0,0,1,0,0
6,3,6,12,5
0,0,0,1,0
2,0,0,0,0
0,1,0,0,0
3,3,0,11,1
0,0,0,0,1
0,3,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,2,0,0,2
0,1,0,0,0
0,0,0,1,0
1,0,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,1,0,0
0,1,0,0,0
0,1,0,0,0
2,1,3,1,0
1,21,3,163,4
0,0,0,1,0
0,3,2,2,0
0,1,0,0,0
14,125,22,74,24
3,8,0,10,6
0,0,0,0,3
3,0,0,0,0
0,0,0,0,2
0,1,0,0,0
90,17,12,36,6
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,3,0,0,0
1,0,0,0,0
1,0,2,1,0
2,0,0,0,0
0,0,0,1,0
1,2,0,0,0
4,3,0,64,0
0,5,1,5,5
3,0,0,0,0
0,1,0,1,1
0,0,0,1,0
240,710,68,562,276
12,52,14,23,14
0,2,0,0,0
1,0,0,0,0
1,1,0,1,0
0,23,1,1,1
0,0,0,1,0
0,0,0,1,0
2,0,0,0,0
0,0,0,1,0
25,162,16,245,84
2,16,0,2,2
0,0,10,0,0
0,0,1,0,0
0,1,0,1,0
10,13,1,1,2
0,2,3,1,0
0,0,0,1,0
1,0,0,0,0
0,4,0,1,1
1,0,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,1,0,0
2,14,3,9,5
3,0,0,0,0
3,0,0,0,0
0,0,0,1,0
0,1,0,0,0
16,20,30,13,8
2,15,6,13,11
4,1,5,0,0
0,0,0,2,0
0,0,1,0,0
2,0,0,4,0
1,0,0,0,0
5,4,5,5,2
19,0,0,0,0
0,0,0,1,0
0,0,1,1,0
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
4,22,3,9,2
1,0,1,3,0
0,0,0,1,0
4,0,2,0,0
0,0,0,1,0
0,0,1,0,0
1,4,2,6,1
13,1,3,0,9
0,0,0,0,1
0,0,0,0,1
0,14,5,5,2
0,0,0,1,0
0,0,0,1,0
0,1,0,4,0
0,1,0,2,0
0,0,0,1,0
0,0,0,1,0
0,4,2,3,2
0,1,0,0,0
1,2,3,1,5
0,0,0,1,0
732,571,85,356,520
0,3,1,5,2
267,21,26,147,278
20,0,0,0,0
0,0,1,0,0
16,80,11,74,18
0,3,0,0,0
0,0,0,0,26
0,0,0,0,1
86,89,236,264,24
0,0,1,0,0
3,0,0,0,0
0,1,0,1,1
0,0,0,1,0
0,1,0,0,0
0,1,1,0,0
0,0,0,1,0
0,0,0,2,0
0,0,9,0,0
0,1,0,11,6
0,0,0,1,0
1,0,0,0,0
0,0,2,0,0
9,150,72,32,5
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,1,1,0,0
29,142,30,26,51
1,2,4,0,5
0,0,1,0,0
0,0,1,0,0
5,0,0,0,0
0,1,0,0,0
0,0,0,0,1
3,16,0,2,17
0,1,0,0,0
0,0,0,0,1
0,0,0,0,1
0,1,0,0,0
0,0,0,0,2
0,0,1,0,0
6,3,6,1,0
1,0,0,0,0
0,0,0,1,0
1,3,0,0,0
0,1,0,0,0
0,1,0,0,0
121,0,0,2,0
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,0,5,0,0
0,0,0,1,0
0,2,0,3,0
2,0,0,0,0
0,4,0,0,0
0,0,2,0,0
3,0,0,0,0
2,1,0,0,0
4,12,2,3,3
0,1,0,0,0
6,19,2,39,1
0,0,0,0,16
0,1,0,0,0
0,0,1,0,0
0,0,0,0,8
0,0,1,0,0
129,289,122,136,128
0,1,0,0,0
0,2,0,0,0
0,1,0,0,0
0,5,0,0,1
1,0,0,2,0
73,156,61,71,190
0,0,1,0,0
0,1,1,0,0
1,1,2,1,0
0,0,0,1,0
0,4,0,1,0
0,1,0,0,0
0,0,1,0,0
3,12,2,1,14
0,1,0,0,0
15,133,17,84,14
1,0,0,0,0
0,1,0,0,0
0,0,0,1,0
1,0,0,0,0
0,1,0,0,0
0,0,1,0,0
0,0,1,0,0
0,14,5,11,0
0,1,0,1,0
0,0,0,1,0
0,0,15,0,0
1,1,0,3,0
0,1,0,0,0
2,1,0,1,0
0,0,0,0,21
0,0,1,0,0
1,0,0,0,0
0,0,1,0,0
1,0,0,0,2
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
2,2,0,0,0
0,0,1,3,0
0,1,0,0,0
0,0,0,0,1
0,0,0,2,1
4,15,7,245,4
0,24,1,85,8
0,0,0,1,0
0,1,0,0,0
1,0,0,0,0
1,0,0,0,0
0,1,0,0,0
8,16,2,9,0
0,0,0,0,1
1,1,0,1,1
0,0,0,0,1
0,0,0,0,1
3,1,14,0,0
0,2,0,0,0
0,7,3,4,3
0,0,0,1,0
0,0,0,0,1
6,6,2,0,0
0,0,0,1,7
9,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,5,2,14,31
0,1,0,2,0
0,1,0,3,0
0,1,0,0,0
0,2,0,0,0
0,0,0,0,1
2,16,0,21,3
8,9,2,26,2
3,45,14,32,26
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,1,0,0
0,3,0,2,1
0,3,0,8,0
0,0,0,1,0
0,0,1,0,0
0,0,0,0,1
0,0,0,1,0
0,4,0,11,0
0,1,0,0,0
1,0,0,0,0
0,0,1,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,2,0
0,6,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,1,0,0,0
14,7,23,28,119
2,0,0,0,2
0,0,1,0,0
0,0,0,2,0
56,35,7,41,50
0,4,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,0,0,1
2,0,0,0,0
0,0,4,0,0
0,0,0,0,81
77,387,33,103,38
0,0,1,0,0
4,90,0,1018,15
1,1,1,1,1
0,0,0,2,0
0,0,2,3,0
8,0,4,0,0
0,2,0,3,0
0,2,2,0,0
0,0,0,1,0
45,101,39,254,266
0,0,0,0,1
3,7,4,0,3
0,0,1,0,0
0,4,0,0,0
0,1,1,0,1
2,0,0,0,0
2,9,2,0,0
1,5,1,0,0
0,1,0,0,0
1,0,1,0,0
3,1,0,2,3
0,1,0,0,0
0,0,1,0,0
0,3,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,3,0
0,3,0,0,0
1,2,0,0,1
0,1,0,0,0
365,379,129,423,89
0,1,0,0,0
1,0,0,0,0
4,0,0,0,0
0,1,0,0,0
0,1,1,0,0
0,1,0,0,0
0,0,1,0,0
2,16,17,4,3
1,0,0,0,0
0,9,2,8,4
0,1,0,0,0
422,0,0,1,3
0,2,7,5,0
2,12,16,2,0
0,0,0,0,1
0,0,0,2,0
0,0,2,0,0
0,1,0,0,0
0,1,0,0,2
0,9,1,0,296
1,8,0,0,2
3,6,0,3,1
0,0,0,2,0
1,0,0,0,0
2,1,0,0,0
0,2,0,0,0
0,0,1,0,0
1,0,0,0,0
0,1,0,0,0
7,1,0,6,7
1,2,1,0,0
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,1,0,0,0
0,0,1,0,0
11,14,12,23,1
0,0,0,1,0
1,0,0,0,0
0,1,0,0,0
1,0,0,0,0
26,105,18,11,8
1,0,1,0,0
0,0,0,1,0
1,22,3,23,2
0,1,0,0,0
0,0,1,0,0
0,10,5,1,1
0,2,0,0,0
0,0,1,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,1,0
5,15,8,0,0
0,1,0,0,0
0,0,0,1,0
0,4,0,0,0
0,0,0,0,1
0,2,0,0,0
1,0,0,0,1
0,0,0,0,1
1,0,0,0,0
0,0,1,0,0
0,3,3,2,0
0,1,1,0,0
0,0,1,0,0
0,2,0,5,0
0,0,0,0,1
0,4,0,0,0
0,0,0,1,0
1,1,0,0,0
0,0,0,0,1
0,1,0,0,0
0,1,0,2,0
0,0,0,1,0
1,3,2,0,2
0,0,0,0,1
0,12,0,7,2
0,2,0,0,0
0,0,0,0,3
1,0,1,3,1
0,2,0,0,0
0,0,1,0,0
0,0,0,2,0
0,3,0,2,0
0,1,0,0,0
0,1,0,0,0
1,0,0,0,0
0,2,0,0,0
0,1,0,0,0
0,0,11,1,0
6,12,3,9,3
0,0,1,0,0
0,0,1,0,0
2,0,0,0,0
1,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
54,171,37,127,38
0,10,0,3,0
0,0,0,0,2
1,0,0,0,0
0,0,0,1,0
81,0,3,0,0
2,7,1,1,0
0,0,11,0,0
0,0,0,1,18
0,0,0,0,1
3,4,1,2,3
0,2,1,11,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,0,1,0
0,0,0,4,1
0,1,0,1,0
0,0,0,1,0
0,0,0,1,0
0,2,0,0,1
0,1,0,0,0
11,22,7,10,6
23,37,47,12,35
0,1,1,0,0
0,3,0,0,0
1,0,0,0,0
2,0,0,0,0
0,0,0,2,0
1,13,5,5,2
0,1,0,0,0
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,1,0,0
0,5,0,0,7
0,0,0,0,1
0,0,1,0,0
87,85,43,35,46
0,1,0,0,0
0,5,0,1,0
17,19,1,9,1
0,1,0,0,0
0,0,0,0,4
0,0,0,1,0
1,0,0,0,0
0,2,0,0,0
0,0,0,0,1
0,2,0,0,0
0,1,28,0,0
0,0,0,1,0
0,2,0,1,0
2,1,0,2,0
0,2,1,0,0
11,26,7,17,7
0,0,0,0,1
0,0,1,0,0
46,75,31,73,31
0,0,0,1,0
0,0,0,0,1
0,1,0,0,0
1,1,0,0,10
0,0,2,0,0
0,1,0,0,0
0,0,0,1,0
0,0,1,0,0
0,0,0,0,2
0,1,8,1,0
2,0,0,0,0
0,1,0,0,0
0,0,0,0,1
1,9,1,9,1
0,0,0,0,2
0,0,1,0,0
1,0,0,0,0
2,26,5,12,2
1,0,0,0,0
0,0,0,1,0
1,0,0,0,0
0,0,0,0,1
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
2,1,2,3,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,3,0,0,0
2,0,0,0,0
9,7,8,6,1
0,6,3,0,0
0,0,1,0,0
1,0,0,0,0
0,0,0,1,0
0,0,1,0,0
1,0,0,0,0
0,0,0,0,3
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
9,43,15,37,3
0,0,0,1,0
0,1,0,1,0
66,121,26,168,44
0,0,0,5,0
1,35,3,4,1
1,1,0,2,0
0,0,0,1,0
0,1,0,0,0
0,0,3,0,0
0,0,0,1,0
0,1,0,0,0
7,1,0,0,0
0,0,0,0,1
0,0,0,0,5
0,0,2,0,0
0,1,0,0,0
66,119,41,55,35
0,2,0,0,0
0,0,2,0,0
0,0,1,0,0
1,26,1,0,0
0,0,0,0,1
0,0,0,0,70
0,131,0,37,0
0,0,1,0,0
2,17,21,8,6
0,0,3,0,0
0,0,0,0,2
0,0,0,1,0
0,0,1,0,0
1,0,0,0,0
277,63,28,68,74
3,0,3,3,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,3,0,0
0,2,0,0,0
28,28,60,36,12
0,0,1,0,0
1,6,7,2,0
73,23,4,17,6
0,0,0,0,1
14,57,14,14,7
2,0,0,0,0
0,0,1,0,0
2,0,0,0,0
1,7,10,3,0
1,0,0,10,9
0,0,1,0,0
1,0,0,0,0
1,0,0,0,0
7,0,0,0,0
5,3,3,2,1
0,1,0,0,0
1,11,0,3,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,13,7,2,0
0,2,0,0,0
0,0,1,0,0
0,0,1,0,0
105,170,22,159,35
0,0,0,0,1
0,2,0,0,0
0,1,0,0,0
0,2,0,0,0
0,1,0,0,0
3,9,2,1,0
2,1,1,1,0
1,0,0,0,0
0,1,0,0,0
0,0,1,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,4,0,1
0,3,6,5,0
0,1,3,0,2
0,0,0,0,2
6,0,0,2,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,1
0,1,0,0,0
2,2,0,0,0
0,0,0,1,0
0,0,0,2,0
0,1,0,0,0
0,1,0,35,1
25,11,3,29,7
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,0,0,2
0,0,3,0,0
5,15,9,7,6
1,0,0,0,3
0,0,1,0,0
0,1,0,1,0
0,1,0,0,0
0,0,1,0,0
0,109,2,1,0
3,1,0,1,1
0,5,0,15,0
0,0,2,0,0
0,1,0,0,0
0,1,0,0,0
6,0,5,0,0
0,0,1,1,0
0,1,0,0,0
2,5,2,8,4
5,11,0,1,0
2,11,1,8,4
5,1,0,0,0
0,1,0,0,0
2,0,0,0,1
2,17,1,26,7
0,0,1,0,0
2,0,2,6,1
0,0,0,1,1
7,237,29,99,90
0,0,2,0,0
0,0,0,0,1
34,0,0,0,0
0,1,1,1,0
1,3,0,2,0
1,0,0,0,0
116,269,45,202,80
0,8,4,1,2
0,0,0,1,0
0,0,0,1,0
204,66,58,107,21
0,0,0,1,1
0,0,0,0,1
0,0,0,4,0
1,3,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,3,0,0,0
0,1,0,0,0
3,3,3,6,2
0,0,0,0,1
0,0,1,0,0
1,0,0,0,0
0,1,0,0,0
0,0,0,1,0
3,7,0,1,0
0,0,3,0,0
0,2,0,0,0
0,0,0,0,1
0,0,0,0,1
3,2,1,0,1
5,0,0,0,0
19,2,0,0,0
0,42,21,40,122
0,0,0,16,0
3,11,7,1,0
0,5,0,0,0
0,10,11,2,7
0,0,0,1,0
2,2,3,2,1
38,36,9,4,15
0,1,0,0,0
0,0,0,1,0
1,2,0,1,8
0,4,0,0,0
0,1,0,0,1
0,0,5,0,0
6,0,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,1,6,1,0
0,0,1,0,0
3,0,1,0,23
3,0,0,0,0
10,9,2,2,9
0,1,0,0,0
3,30,1,5,1
0,1,0,0,0
0,0,2,0,0
0,0,1,0,0
1,0,0,0,0
0,1,0,0,0
1,0,0,0,0
13,1,0,17,0
8,15,12,16,19
4,6,66,1,1
0,1,0,0,0
0,0,1,2,0
0,0,0,1,0
0,2,6,0,0
190,5,4,2,0
7,1,3,7,1
0,0,0,1,0
1,1,0,0,0
0,3,1,1,1
0,1,0,0,0
0,0,0,1,0
1,0,0,0,0
0,4,0,1,1
0,1,0,0,0
2,0,0,0,0
1,0,0,0,0
0,1,0,0,1
1,0,0,0,0
6,0,1,0,0
0,0,0,2,0
0,2,1,0,0
0,0,0,1,0
0,2,0,1,0
7,15,1,20,0
2,0,0,0,0
1,0,0,0,0
2,0,1,0,0
0,0,0,0,1
1,1,1,0,0
1,3,0,1,0
0,0,0,1,0
0,0,0,2,0
0,1,0,0,0
0,0,0,1,0
2,0,0,0,0
2,0,0,0,0
4,4,0,2,11
0,78,0,8,0
1,0,2,0,0
1,1,0,1,1
0,1,1,0,0
0,1,1,1,0
0,0,0,0,1
0,1,0,0,0
1,0,0,0,0
0,0,0,5,0
0,1,0,0,0
0,0,7,0,0
4,0,0,0,0
3,10,23,11,204
1,0,0,0,0
0,2,0,5,1
2,0,0,0,0
0,0,2,0,0
0,1,0,1,2
0,0,3,0,0
0,3,0,0,0
1,0,0,0,1
0,0,0,7,3
1,0,1,1,0
1,0,0,0,0
0,2,0,0,0
0,3,0,2,1
0,1,0,0,23
2,0,0,0,0
8,14,10,6,9
0,0,1,0,0
1,0,0,0,0
0,0,0,1,0
1,5,1,2,0
0,0,0,1,0
0,0,0,1,0
3,36,20,42,11
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,1,0,0
1,0,0,0,0
5,31,3,31,25
2,11,6,19,1
12,1,0,0,0
0,0,1,0,0
0,0,0,1,1
0,0,13,0,0
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,0,0,2
1,0,0,1,0
27,106,25,101,55
14,44,4,25,54
0,3,0,1,0
2,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,1,2,0,0
7,2,3,3,1
8,10,0,155,2
0,0,1,0,0
0,1,0,0,0
0,0,1,0,0
0,5,3,1,2
0,2,0,0,0
0,0,0,2,0
0,1,0,0,4
1,0,0,0,0
0,1,0,0,0
0,16,0,5,0
0,4,0,1,1
0,0,2,0,7
1,0,0,0,0
0,2,0,5,7
0,1,0,0,0
480,397,161,434,292
8,0,0,0,0
0,1,0,5,14
0,0,1,0,0
0,2,0,0,0
0,1,0,0,0
2,0,0,0,0
0,2,4,0,1
0,5,0,3,20
0,2,0,3,0
79,63,67,24,21
0,0,1,0,0
1,0,0,0,0
0,2,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
153,244,57,293,783
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
8,5,2,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,5,0,0,0
2,10,0,0,0
51,55,16,31,9
0,0,0,1,0
0,2,0,0,0
0,0,8,0,0
0,0,1,0,0
0,3,0,0,1
0,13,2,1,3
0,0,1,0,0
9,0,0,0,0
0,0,1,0,0
4,0,0,0,0
0,1,1,0,0
107,2,18,4,29
0,5,0,0,0
0,7,0,1,1
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,1,0,0
0,0,1,1,0
2,1,0,2,0
2,0,0,0,0
0,1,0,0,0
115,250,145,234,66
1,2,0,2,2
0,0,0,0,15
9,10,5,21,17
0,0,0,1,0
0,0,0,0,2
0,1,0,0,0
0,0,1,0,0
2,0,0,0,0
0,0,0,2,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,1
0,0,2,0,0
0,3,0,8,0
0,1,0,0,0
0,2,0,1,1
0,2,0,0,0
0,0,0,1,0
1,24,1,2,6
1,0,0,0,0
1,14,1,54,3
0,0,0,0,1
0,0,1,0,0
0,0,1,0,0
0,2,0,1,2
0,3,0,1,1
0,3,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
6,32,11,29,18
35,4,4,3,3
0,0,0,1,0
0,1,0,2,0
4,1,4,0,0
65,71,43,19,11
0,0,0,1,0
0,0,0,1,0
0,0,31,0,0
0,0,0,3,0
0,8,2,0,0
0,4,0,1,13
0,2,0,6,0
0,1,0,0,0
0,0,0,1,0
5,2,1,1,1
0,0,0,1,3
0,1,1,0,0
0,0,4,0,0
0,0,0,0,1
0,49,0,0,0
1,0,2,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,1,3,0
0,1,0,0,0
0,0,0,1,0
1,3,1,0,0
0,0,1,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,0,2
3,4,0,2,0
